Date,Open,High,Low,Close,Adj Close,Volume
2009-04-01,11.214000,11.690000,9.684700,11.564000,11.564000,0
2009-05-01,11.563000,12.086000,11.086000,12.038000,12.038000,0
2009-06-01,12.039000,12.557000,11.303000,11.342000,11.342000,0
2009-07-01,11.332000,12.278000,11.299000,12.189000,12.189000,0
2009-08-01,12.189000,12.294000,11.666000,12.203000,12.203000,0
2009-09-01,12.349000,12.647000,12.255000,12.644000,12.644000,0
2009-10-01,12.693000,12.808000,12.067000,12.139000,12.139000,0
2009-11-01,12.139000,12.666000,12.096000,12.252000,12.252000,0
2009-12-01,12.250000,12.565000,11.890000,12.407000,12.407000,0
2010-01-01,12.407000,12.506000,12.061000,12.222000,12.222000,0
2010-02-01,12.221000,12.417000,12.030000,12.140000,12.140000,0
2010-03-01,12.135000,12.452000,12.064000,12.163000,12.163000,0
2010-04-01,12.162000,12.281000,12.040000,12.090000,12.090000,0
2010-05-01,12.090000,12.562000,12.034000,12.380000,12.380000,0
2010-06-01,12.372000,12.407000,12.081000,12.166000,12.166000,0
2010-07-01,12.165000,12.413000,12.099000,12.290000,12.290000,0
2010-08-01,12.290000,12.466000,12.105000,12.404000,12.404000,0
2010-09-01,12.415000,12.607000,12.075000,12.146000,12.146000,0
2010-10-01,12.225000,12.416000,12.007000,12.111000,12.111000,0
2010-11-01,12.126000,12.289000,12.014000,12.244000,12.244000,0
2010-12-01,12.165000,12.425000,12.120000,12.373000,12.373000,0
2011-01-01,12.418000,12.462000,12.022000,12.196000,12.196000,0
2011-02-01,12.107000,12.432000,12.071000,12.383000,12.383000,0
2011-03-01,12.456000,12.491000,12.116000,12.268000,12.268000,0
2011-04-01,12.264000,12.326000,12.080000,12.149000,12.149000,0
2011-05-01,12.156000,12.180000,11.854000,11.872000,11.872000,0
2011-06-01,11.951000,12.228000,11.878000,12.121000,12.121000,0
2011-07-01,12.151000,12.381000,12.008000,12.335000,12.335000,0
2011-08-01,12.248000,12.794000,12.188000,12.784000,12.784000,0
2011-09-01,12.597000,13.668000,12.543000,13.215000,13.215000,0
2011-10-01,13.248000,13.570000,12.832000,13.116000,13.116000,0
2011-11-01,13.364000,13.644000,13.067000,13.356000,13.356000,0
2011-12-01,13.377000,13.782000,13.247000,13.713000,13.713000,0
2012-01-01,13.628000,13.718000,12.841000,12.934000,12.934000,0
2012-02-01,12.936000,13.015000,12.662000,12.905000,12.905000,0
2012-03-01,13.005000,13.015000,12.669000,12.828000,12.828000,0
2012-04-01,12.828000,13.465000,12.775000,13.210000,13.210000,0
2012-05-01,13.174000,13.876000,13.076000,13.746000,13.746000,0
2012-06-01,13.885000,14.037000,13.089000,13.139000,13.139000,0
2012-07-01,13.139000,13.434000,12.956000,13.233000,13.233000,0
2012-08-01,13.299000,13.522000,13.058000,13.445000,13.445000,0
2012-09-01,13.373000,13.422000,13.031000,13.054000,13.054000,0
2012-10-01,13.074000,13.229000,12.911000,13.067000,13.067000,0
2012-11-01,13.081000,13.252000,12.982000,13.037000,13.037000,0
2012-12-01,13.032000,13.139000,12.863000,13.086000,13.086000,0
2013-01-01,12.917000,13.013000,12.550000,12.689000,12.689000,0
2013-02-01,12.723000,12.785000,12.357200,12.465400,12.465400,0
2013-03-01,12.396500,12.461000,12.016900,12.114000,12.114000,0
2013-04-01,12.106800,12.183000,11.839300,12.060000,12.060000,0
2013-05-01,12.046100,12.506800,11.873700,12.414800,12.414800,0
2013-06-01,12.335000,12.980700,12.214000,12.333200,12.333200,0
2013-07-01,12.339000,12.499400,11.926200,12.389800,12.389800,0
2013-08-01,12.392100,12.715500,12.118600,12.685000,12.685000,0
2013-09-01,12.685000,12.852500,12.329800,12.793300,12.793300,0
2013-10-01,12.672200,12.883100,12.278000,12.363900,12.363900,0
2013-11-01,12.476600,12.703700,12.267900,12.343000,12.343000,0
2013-12-01,12.343000,12.454800,12.006000,12.272400,12.272400,0
2014-01-01,12.264000,12.375000,11.807000,11.971200,11.971200,0
2014-02-01,11.990000,12.203100,11.870600,11.910600,11.910600,0
2014-03-01,11.969000,12.052400,11.719700,11.813100,11.813100,0
2014-04-01,11.813000,11.977500,11.789800,11.956700,11.956700,0
2014-05-01,11.928000,11.987400,11.796300,11.853000,11.853000,0
2014-06-01,11.853000,12.185000,11.727200,12.159900,12.159900,0
2014-07-01,12.158200,12.225800,11.952600,12.055000,12.055000,0
2014-08-01,12.124000,12.188000,11.910600,12.021500,12.021500,0
2014-09-01,12.020000,12.130800,11.891500,12.090600,12.090600,0
2014-10-01,11.975000,12.127000,11.829700,11.995600,11.995600,0
2014-11-01,11.962000,12.233400,11.874500,12.169500,12.169500,0
