"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","25754","","","","0"
"2015","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","29083","","","","0"
"2016","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","31813","","","","0"
"2017","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","33099","","","","0"
"2018","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","36456","","","","0"
"2019","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","40624","","","","0"
"2020","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","40786","","","","0"
"2021","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","42114","","","","0"
"2022","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","45364","","","","0"
"2023","Canada","2016A000011124","Receipts","Portfolio investment income","All countries","Dollars","81","millions","6","v61914414","1.1.15.1","53106","","","","0"
"2010","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","5084","","","","0"
"2011","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","5198","","","","0"
"2012","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","5691","","","","0"
"2013","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","5475","","","","0"
"2014","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","6731","","","","0"
"2015","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","8247","","","","0"
"2016","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","10340","","","","0"
"2017","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","11539","","","","0"
"2018","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","16995","","","","0"
"2019","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","23257","","","","0"
"2020","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","14034","","","","0"
"2021","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","6606","","","","0"
"2022","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","18819","","","","0"
"2023","Canada","2016A000011124","Receipts","Other investment income","All countries","Dollars","81","millions","6","v61914422","1.1.16.1","51180","","","","0"
"2010","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","9021","","","","0"
"2011","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","9410","","","","0"
"2012","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","8922","","","","0"
"2013","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","9690","","","","0"
"2014","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","10682","","","","0"
"2015","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","10928","","","","0"
"2016","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","13248","","","","0"
"2017","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","11951","","","","0"
